episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,-45.249159339960286,0,1,42,-2.0,-1.5,1.4643193229490068,0.19,-18.569159339960294,-2.1000000000000005,-6.300000000000004,6.720000000000005,-25.0,0.8930584990493976
2,-18.444228782538527,0,1,66,-1.5,0.5,0.8645944988278886,0.19,10.015771217461463,-3.2999999999999963,-9.900000000000013,9.739999999999993,-25.0,0.8820032520140992
3,81.96035529334253,1,0,48,-1.0,-0.5,0.19420786961905,0.42,31.960355293342534,-2.3999999999999995,-7.200000000000006,9.599999999999998,50.0,0.874054237114622
4,-29.659605279927902,0,1,36,-2.0,-1.5,1.0385807014993675,0.19,-1.5396052799279047,-1.800000000000001,-5.400000000000002,4.080000000000003,-25.0,0.8681423549225972
5,-20.30313187565058,0,1,40,-1.5,0.5,0.9503251718499832,0.18,6.596868124349422,-2.000000000000001,-6.0000000000000036,6.100000000000003,-25.0,0.861623326963166
6,-8.257313831763325,0,1,36,-1.5,0.5,0.6526595670163486,0.12,18.00268616823668,-1.800000000000001,-5.400000000000002,5.940000000000003,-25.0,0.8558006258869525
7,-62.67186992061648,0,1,46,-1.5,0.5,1.9901342354399736,0.18,-35.43186992061648,-2.3,-6.900000000000006,6.960000000000004,-25.0,0.8484212572734877
8,-45.73946408583346,0,1,29,-2.0,-1.5,1.4975439213221367,0.16,-19.899464085833465,-1.4500000000000006,-4.35,4.960000000000002,-25.0,0.8438038175008576
9,-54.274334656369454,0,1,29,-2.0,-1.5,1.6694489381274213,0.17,-26.774334656369458,-1.4500000000000006,-4.35,3.3000000000000016,-25.0,0.8392130813635075
10,-15.780631452221005,0,1,38,-1.5,0.5,0.8417607654873747,0.19,10.939368547778994,-1.900000000000001,-5.700000000000003,5.880000000000004,-25.0,0.8332377967875422
11,-6.776533816883273,0,1,45,-2.0,-1.5,0.4760036685397216,0.16,20.963466183116726,-2.25,-6.750000000000005,6.260000000000004,-25.0,0.8262202827975647
12,80.24221279425299,1,0,46,-2.0,-1.5,0.23115233339102476,0.25,30.76221279425299,-2.3,-6.900000000000006,8.680000000000001,50.0,0.8191118053305656
13,0.23170788912625895,0,1,14,-1.0,-0.5,0.31358928972255395,0.16,26.351707889126253,-0.7000000000000001,-2.0999999999999996,1.6799999999999997,-25.0,0.8169613043819618
14,79.90325725365096,1,0,12,-1.0,-0.5,0.2416368936444917,0.38,29.903257253650953,-0.6,-1.7999999999999996,2.4,50.0,0.8151228043339828
15,-7.116593631161766,0,1,28,-1.0,-0.5,0.4856372288326686,0.19,20.14340636883823,-1.4000000000000006,-4.199999999999999,3.3400000000000016,-25.0,0.8108500913919673
16,-24.94483798576986,0,1,27,-2.0,-1.5,0.9406757247639089,0.18,2.375162014230141,-1.3500000000000005,-4.049999999999999,3.080000000000001,-25.0,0.8067525741519608
17,-59.778978003942086,0,1,116,-2.0,-1.5,1.7519160082331133,0.18,-30.07897800394212,-5.799999999999987,-17.400000000000013,18.499999999999964,-25.0,0.7893980058274548
18,80.12015392576103,1,0,21,-1.0,-0.5,0.23654932164919823,0.36,30.120153925761038,-1.0500000000000003,-3.149999999999999,4.200000000000001,50.0,0.7862990465728827
19,-78.88941379410849,0,1,77,-2.0,-1.5,2.328325761309638,0.18,-53.129413794108515,-3.8499999999999943,-11.550000000000017,14.63999999999998,-25.0,0.7750469051237618
20,-44.43705771432525,0,1,40,-1.5,0.5,1.5230508772236284,0.19,-16.317057714325244,-2.000000000000001,-6.0000000000000036,4.8800000000000034,-25.0,0.76926966963661
21,-39.33433857497907,0,1,36,-1.5,0.5,1.4477367961311312,0.14,-13.514338574979075,-1.800000000000001,-5.400000000000002,6.3800000000000034,-25.0,0.7641095268211598
22,81.75856904648666,1,0,28,-1.0,-0.5,0.19991320181629305,0.39,31.758569046486656,-1.4000000000000006,-4.199999999999999,5.600000000000002,50.0,0.7601216898360614
23,-1.1008825228897585,0,1,33,-1.0,-0.5,0.3724007159833146,0.18,24.85911747711024,-1.6500000000000008,-4.950000000000001,5.640000000000002,-25.0,0.7554503191634264
24,-35.971010058357855,0,1,21,-1.5,0.5,1.3450213015826271,0.18,-9.191010058357856,-1.0500000000000003,-3.149999999999999,2.42,-25.0,0.7524936411929932
