episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-198.89365932273205,0,1,1,1.7,0.5,2.1094782375724006,0.024999999999999998,0.0,-0.01,-2.3155046655463463,3.431845342814286,-200.0,0.9
2,-201.76131225712996,0,1,4,1.0,-0.5,3.652327799608187,0.02,10.0,-0.04,-3.6024930096634904,-3.965197039560759,-200.0,0.8998300169988668
3,-197.65274024267484,0,1,3,1.7,0.5,2.2809430092637095,0.021666666666666667,0.0,-0.03,-2.3031573907074048,3.2927955416515045,-200.0,0.8997025520564266
4,-198.26430054915915,0,1,1,1.0,-0.5,1.1406413381273288,0.023333333333333334,0.0,-0.01,-2.250423357403305,3.9961228082441695,-200.0,0.8996600679909342
5,-198.26784100890916,0,1,1,1.0,-0.5,1.1399996455926213,0.023333333333333334,0.0,-0.01,-2.257631869912978,3.9997908610038087,-200.0,0.8996175860495922
6,-201.57032377531502,0,1,1,0.0,0.5,1.007521163092745,0.021666666666666667,0.0,-0.01,-2.329199050128092,0.7688752748130716,-200.0,0.899575106232294
7,-198.8446848638755,0,1,1,1.7,0.5,2.124863121974685,0.021666666666666667,0.0,-0.01,-2.2483134040752546,3.4136285401997424,-200.0,0.8995326285389335
8,-201.79440594208165,0,1,1,0.0,0.5,1.046787175461192,0.023333333333333334,0.0,-0.01,-2.2321490883148063,0.4477431462331401,-200.0,0.8994901529694046
9,-216.66093819073964,0,1,2,1.0,-0.5,3.3501704189983714,0.023333333333333334,-10.0,-0.02,-1.8258971721752018,-3.7220003155785966,-200.0,0.8994052082014168
10,-201.6762661473144,0,1,1,0.0,0.5,1.0623629143469824,0.021666666666666667,0.0,-0.01,-2.2697468517164614,0.6034807044020457,-200.0,0.8993627390027457
11,-198.77868677518666,0,1,1,1.7,0.5,2.118929791617522,0.023333333333333334,0.0,-0.01,-2.2750120609794564,3.506325285792806,-200.0,0.8993202719274812
12,-198.79796193900341,0,1,1,1.7,0.5,2.1181802840426034,0.023333333333333334,0.0,-0.01,-2.223555125113862,3.4355931861104496,-200.0,0.8992778069755174
