episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-206.27885156911842,0,1,1,-0.7,-0.5,0.5602304874728579,0.023333333333333334,0.0,-0.01,-2.2691749910980805,-3.9996765780203374,-200.0,0.8
2,-206.2493590458835,0,1,1,-0.7,-0.5,0.5629414941039301,0.021666666666666667,0.0,-0.01,-2.268647355369561,-3.9707116905139204,-200.0,0.7998750104160881
3,-206.23641473233013,0,1,1,-0.7,-0.5,0.5636842910042478,0.023333333333333334,0.0,-0.01,-2.2677235753911957,-3.9586911569389382,-200.0,0.7997500416620374
4,-219.39303838311477,0,1,6,-0.7,-0.5,1.655824296398407,0.023333333333333334,-10.0,-0.060000000000000005,-5.2413620378793695,-3.9666012805893973,-200.0,0.7990006663704692
5,-215.46977429404794,0,1,2,-0.7,-0.5,1.7065746401019921,0.023333333333333334,-10.0,-0.02,-1.8604158354048896,-3.843820885041009,-200.0,0.798751041088204
6,-206.21744509839516,0,1,1,-0.7,-0.5,0.562456527440832,0.023333333333333334,0.0,-0.01,-2.2334815836118658,-3.973963514783306,-200.0,0.798626259646765
7,-206.25574404729653,0,1,1,-0.7,-0.5,0.5624300053976268,0.021666666666666667,0.0,-0.01,-2.274200011596923,-3.971544035699615,-200.0,0.7985014990004998
8,-218.5385478750883,0,1,2,-0.7,-0.5,2.1444038693017835,0.023333333333333334,-10.0,-0.02,-3.6142007058274657,-3.997998550363363,-200.0,0.7982520400796296
9,-210.509369250114,0,1,3,-0.7,-0.5,2.1477929332742858,0.024999999999999998,0.0,-0.03,-1.7869437576339662,-3.9943369521719125,-200.0,0.7978780075755082
10,-217.42958259875994,0,1,2,-0.7,-0.5,1.790026733014269,0.023333333333333334,-10.0,-0.02,-1.7724825576884933,-3.6610103694578724,-200.0,0.7976287564504784
11,-219.04331421850614,0,1,2,-0.7,-0.5,2.1794334854006143,0.021666666666666667,-10.0,-0.02,-3.5945607610431844,-3.925187206584077,-200.0,0.7973795883953112
12,-206.23492549184238,0,1,1,-0.7,-0.5,0.5623445789907252,0.021666666666666667,0.0,-0.01,-2.253304123332006,-3.9716213685103683,-200.0,0.7972550355102741
13,-220.5488564648038,0,1,2,-0.7,-0.5,1.8911061639087599,0.023333333333333334,-10.0,-0.02,-3.430693309124967,-3.4960419636238544,-200.0,0.7970059920079937
14,-206.25048736915312,0,1,1,-0.7,-0.5,0.5616146069656933,0.021666666666666667,0.0,-0.01,-2.2453238551458465,-3.9951635140072606,-200.0,0.7968815013838325
15,-206.22411156711883,0,1,1,-0.7,-0.5,0.5621883333541259,0.023333333333333334,0.0,-0.01,-2.238128546467031,-3.9759830206518094,-200.0,0.7967570315063798
16,-219.9588795224277,0,1,2,-0.7,-0.5,2.2167757272338133,0.02,-10.0,-0.02,-3.5511755215445255,-3.8642473114683042,-200.0,0.7965081539777702
17,-206.2255991472547,0,1,1,-0.7,-0.5,0.5619634364739126,0.024999999999999998,0.0,-0.01,-2.241020255516275,-3.9745788917384335,-200.0,0.7963837463197
18,-206.24705076792281,0,1,1,-0.7,-0.5,0.5628407977912689,0.021666666666666667,0.0,-0.01,-2.2649410249716935,-3.9721097429511127,-200.0,0.7962593593945118
19,-206.40120000607888,0,1,1,-0.7,-0.5,0.4964814941833748,0.023333333333333334,0.0,-0.01,-2.39436715268809,-3.9968328533907855,-200.0,0.7961349931987503
20,-219.5708863471219,0,1,4,-0.7,-0.5,2.1453642106050053,0.023333333333333334,-10.0,-0.04,-1.7988033326597845,-3.080713959772855,-200.0,0.7956377356408874
21,-206.18097185440774,0,1,1,-0.7,-0.5,0.5667738951081495,0.021666666666666667,0.0,-0.01,-2.2251761443833304,-3.94579571002441,-200.0,0.7955134730404515
22,-211.58284723283376,0,1,9,-0.7,-0.5,1.7750249441360733,0.02,0.0,-0.09,-9.313995294802162,-3.72322422769184,-200.0,0.7943960411143538
23,-206.26115511603538,0,1,1,-0.7,-0.5,0.5611821333643322,0.023333333333333334,0.0,-0.01,-2.256709748442533,-3.994445367592856,-200.0,0.794271985445761
24,-201.47484602397088,0,1,4,-0.7,-0.5,1.6602906680921825,0.024999999999999998,10.0,-0.04,-1.7888796088555021,-3.962468175706294,-200.0,0.7937759694791571
25,-217.30856287036937,0,1,2,-0.7,-0.5,1.7605546284613616,0.021666666666666667,-10.0,-0.02,-1.8131642361054772,-3.726030122507711,-200.0,0.7935280854722937
26,-292.4355254856738,0,1,15,-0.7,-0.5,0.5329804991203071,0.024999999999999998,-7.703902797499842,-0.15,-32.81307276775101,-3.9608298554788086,-200.0,0.7916715868488186
27,-210.81800689171055,0,1,2,-0.7,-0.5,1.6208386587041754,0.02,-10.0,-0.02,-4.161911042905503,3.685799395877295,-200.0,0.7914244041859348
28,-219.9834715444864,0,1,2,-0.7,-0.5,2.21733294439273,0.02,-10.0,-0.02,-3.501112385450157,-3.8674518391201946,-200.0,0.7911773039035412
29,-180.81506172355418,0,1,3,-0.7,-0.5,0.8864727328393808,0.02,20.0,-0.03,-2.3131476074597286,2.440683018544753,-200.0,0.7908068078833131
30,-217.33969562802682,0,1,2,-0.7,-0.5,1.772669013540055,0.021666666666666667,-10.0,-0.02,-1.7928828138694852,-3.718602990616518,-200.0,0.7905599134320467
31,-206.22127676881496,0,1,1,-0.7,-0.5,0.5374261236841663,0.021666666666666667,0.0,-0.01,-2.2130242132857068,-3.9982525555292434,-200.0,0.790436497064791
32,-206.27320249151649,0,1,1,-0.7,-0.5,0.5618383459782822,0.021666666666666667,0.0,-0.01,-2.283887452087604,-3.9793150394288817,-200.0,0.7903131012652157
33,-206.23828108692794,0,1,1,-0.7,-0.5,0.5610754855107987,0.021666666666666667,0.0,-0.01,-2.2428758521477623,-3.9854052347801727,-200.0,0.7901897260298933
34,-206.25240015477965,0,1,1,-0.7,-0.5,0.560393425256632,0.021666666666666667,0.0,-0.01,-2.2433997057377795,-3.9990004490418802,-200.0,0.7900663713553968
35,-218.14196443378881,0,1,2,-0.7,-0.5,2.1444419586699888,0.023333333333333334,-10.0,-0.02,-3.5698244917879087,-3.9991572325876894,-200.0,0.7898197236751755
36,-206.22623429896208,0,1,1,-0.7,-0.5,0.5633454058785192,0.021666666666666667,0.0,-0.01,-2.243976936980495,-3.9722573619815797,-200.0,0.7896964306625994
37,-206.21748093219995,0,1,1,-0.7,-0.5,0.5626057167831359,0.024999999999999998,0.0,-0.01,-2.237137490158838,-3.9703434420411168,-200.0,0.7895731581971465
38,-200.76678371261036,0,1,3,-0.7,-0.5,1.0672323567356274,0.024999999999999998,0.0,-0.03,-2.263902992384576,2.070201799914869,-200.0,0.7892034640492869
39,-222.52572095394765,0,1,2,-0.7,-0.5,0.5667534198767648,0.023333333333333334,-10.0,-0.02,-4.567523042214524,-3.9545217039041844,-200.0,0.7889571039569002
40,194.40639261646857,1,0,1,-0.7,-0.5,0.22308052285801505,0.06999999999999999,0.0,-0.01,-1.6574784980839024,-3.9261288854475276,200.0,0.788833954702297
41,-206.21197742452878,0,1,1,-0.7,-0.5,0.5556144326481037,0.02,0.0,-0.01,-2.2086682242897,-3.9933092002390755,-200.0,0.7887108259708593
42,-206.39536270976097,0,1,1,-0.7,-0.5,0.49384754895853056,0.02666666666666667,0.0,-0.01,-2.388781833690845,-3.9965808760701163,-200.0,0.7885877177591667
43,-206.22765842066036,0,1,1,-0.7,-0.5,0.5364354144542566,0.02,0.0,-0.01,-2.2259587432156547,-3.991699677444718,-200.0,0.7884646300637997
44,-222.6016915953604,0,1,2,-0.7,-0.5,0.5599426971629743,0.024999999999999998,-10.0,-0.02,-4.589190403223006,-3.998503164548857,-200.0,0.7882185162083666
45,194.27026665903134,1,0,1,-0.7,-0.5,0.23895112859889336,0.06666666666666667,0.0,-0.01,-1.7200004668137703,-3.999732874154894,200.0,0.7880954900414638
46,-219.3114856324659,0,1,2,-0.7,-0.5,2.2031230221085054,0.021666666666666667,-10.0,-0.02,-1.7348069519487184,-3.645001035312667,-200.0,0.7878494992121994
47,194.42482926105987,1,0,1,-0.7,-0.5,0.23761324039066462,0.07333333333333333,0.0,-0.01,-1.5679674493104363,-3.9972032896296814,200.0,0.7877265345430043
48,189.71210319957947,1,0,10,-0.7,-0.5,0.1849410571116745,0.06833333333333333,-7.233185110938621,-0.09999999999999999,-5.462366357093197,3.3715111321360602,200.0,0.7864980143699566
49,-222.44677700141295,0,1,2,-0.7,-0.5,0.5600511388978399,0.021666666666666667,-10.0,-0.02,-4.426918502298687,-3.99987291397121,-200.0,0.7862525559438436
50,-203.90543281365217,0,1,3,-0.7,-0.5,0.9089918144984619,0.024999999999999998,0.0,-0.03,-6.064902384527015,3.3339627889955388,-200.0,0.7858845216821045
51,-242.4975070020787,0,1,4,-0.7,-0.5,2.203267672411769,0.02,-30.0,-0.04,-3.6990034594124674,-3.6725367740207333,-200.0,0.7853940954945429
52,-222.51996874007065,0,1,2,-0.7,-0.5,0.5624662987989185,0.023333333333333334,-10.0,-0.02,-4.525219988425745,-3.9835201694515985,-200.0,0.7851490049800665
53,-224.1502590323597,0,1,4,-0.7,-0.5,0.5600140804682032,0.024999999999999998,-10.0,-0.04,-6.07900020505242,-3.999921387252798,-200.0,0.7846590689735611
54,196.03327528892444,1,0,1,-0.7,-0.5,0.11123903036569059,0.08833333333333333,0.0,-0.01,0.0,-3.956724711075556,200.0,0.7845366359984302
55,-202.0126773208505,0,1,3,-0.7,-0.5,0.8210901616122245,0.02,0.0,-0.03,-3.798332013319176,3.654068731353997,-200.0,0.7841694594822095
56,-242.67448693792537,0,1,4,-0.7,-0.5,0.7658339349495605,0.023333333333333334,-30.0,-0.04,-6.559082335681045,-3.3200637871381704,-200.0,0.7836801762884076
57,-222.2954613927261,0,1,2,-0.7,-0.5,0.5549269562101297,0.02,-10.0,-0.02,-4.288773638182258,-3.99058556416776,-200.0,0.7834356569851261
58,-182.05145143297773,0,1,3,-0.7,-0.5,0.9402605713947864,0.02,20.0,-0.03,-3.9214481975198647,2.8714005415327613,-200.0,0.7830690308208126
59,-222.16199879346325,0,1,2,-0.7,-0.5,0.5380516480887789,0.024999999999999998,-10.0,-0.02,-4.3457914404415305,-3.8051565420253644,-200.0,0.7828247151987382
60,-218.73817546993354,0,1,2,-0.7,-0.5,1.904026948232234,0.024999999999999998,-10.0,-0.02,-1.8163674278179367,-3.4481559559252988,-200.0,0.7825804810016329
61,-222.6894882961418,0,1,2,-0.7,-0.5,0.5611906248839418,0.024999999999999998,-10.0,-0.02,-4.676680805021936,-3.99615699130416,-200.0,0.7823363282023595
62,-222.62815369106124,0,1,2,-0.7,-0.5,0.5654627773905014,0.024999999999999998,-10.0,-0.02,-4.648879922582208,-3.96293230326491,-200.0,0.7820922567737901
63,-228.7687933810107,0,1,4,-0.7,-0.5,0.560177257868042,0.021666666666666667,-13.172959219432672,-0.04,-6.659646786946981,-3.999667230704857,-200.0,0.7816043579202958
64,-222.71497954294497,0,1,2,-0.7,-0.5,0.5605352095736208,0.023333333333333334,-10.0,-0.02,-4.698401361440368,-3.997184376614155,-200.0,0.7813605304411598
65,194.46094354401728,1,0,1,-0.7,-0.5,0.20387317921873527,0.07333333333333333,0.0,-0.01,-1.5607902374317177,-3.968266218551005,200.0,0.7812386471766406
66,-218.9977885722518,0,1,2,-0.7,-0.5,2.0079264711873344,0.02,-10.0,-0.02,-1.7730604449226675,-3.2746004907627078,-200.0,0.7809949415807709
67,-219.74779505056048,0,1,4,-0.7,-0.5,2.0081239805892586,0.021666666666666667,-10.0,-0.04,-1.8105152166278722,-3.276919728724178,-200.0,0.7805077740269448
68,198.1859001353421,1,0,1,-0.7,-0.5,0.024623460063161465,0.07833333333333332,0.0,-0.01,0.0,-1.8040998646578907,200.0,0.7803860328766513
69,194.3191303977916,1,0,1,-0.7,-0.5,0.22817190491027323,0.06833333333333333,0.0,-0.01,-1.6715181033697215,-3.999351498838674,200.0,0.7802643120148588
70,194.42039509506287,1,0,1,-0.7,-0.5,0.2018493397764526,0.07333333333333333,0.0,-0.01,-1.5854004461645892,-3.984204458772527,200.0,0.7801426114381861
71,-217.60807329536397,0,1,2,-0.7,-0.5,0.5504725997744399,0.021666666666666667,-10.0,-0.02,-4.070938528888219,0.4679518166096732,-200.0,0.7798992711266783
72,-222.32877703192383,0,1,2,-0.7,-0.5,0.5616776241390724,0.021666666666666667,-10.0,-0.02,-4.326610606653224,-3.986137010852661,-200.0,0.7796560119150906
73,-220.83020372327758,0,1,2,-0.7,-0.5,1.8214847032084933,0.021666666666666667,-10.0,-0.02,-3.378077875059261,-3.613271429866875,-200.0,0.7794128337763936
74,194.53232926836847,1,0,1,-0.7,-0.5,0.14667891984584647,0.08166666666666667,0.0,-0.01,-1.4591188087009863,-3.9985519229305426,200.0,0.7792912751009352
75,-222.65912691852364,0,1,2,-0.7,-0.5,0.5620715348056204,0.024999999999999998,-10.0,-0.02,-4.658240757516118,-3.985537017357733,-200.0,0.7790482185209154
76,203.9636885566852,1,0,1,-0.7,-0.5,0.1968082874959501,0.06333333333333334,0.0,-0.01,0.0,3.973688556685222,200.0,0.7789267206096024
77,-214.16504029590578,0,1,5,-0.7,-0.5,2.4903551258182093,0.02,0.0,-0.05,-5.535911967614617,-2.6110530028899417,-200.0,0.7783195347050261
78,-203.36702517918923,0,1,4,-0.7,-0.5,1.9995783112371384,0.021666666666666667,7.493717542868428,-0.04,-3.3187304368552217,-3.2769012702645424,-200.0,0.7778341501613811
79,-219.93812231978873,0,1,4,-0.7,-0.5,1.8769225344341502,0.023333333333333334,-10.0,-0.04,-1.8157046233427028,-3.5172238928882047,-200.0,0.7773490890995928
80,-222.5183191914497,0,1,2,-0.7,-0.5,0.5652000245794588,0.021666666666666667,-10.0,-0.02,-4.54837277830352,-3.9606312834812516,-200.0,0.7771066798070195
81,-228.3049364343211,0,1,5,-0.7,-0.5,0.6647586253360248,0.02,-20.0,-0.05,-6.065297885179248,-0.3989617561026092,-200.0,0.7765010099713289
82,-242.75986212445247,0,1,4,-0.7,-0.5,2.147551572839311,0.023333333333333334,-30.0,-0.04,-3.840435043344363,-3.9890589869752544,-200.0,0.7760168373734796
83,-222.63345008801485,0,1,2,-0.7,-0.5,0.5614132537148041,0.024999999999999998,-10.0,-0.02,-4.623018419720063,-3.9919189791934335,-200.0,0.7757748720908093
84,-219.06206880538707,0,1,2,-0.7,-0.5,1.9378011710894063,0.023333333333333334,-10.0,-0.02,-1.801247065220052,-3.376469027699135,-200.0,0.7755329874497922
85,-170.47095771690508,0,1,9,-0.7,-0.5,0.701523517719659,0.02,35.618738101908036,-0.09,-6.737696714525249,0.4816926079124627,-200.0,0.7744455037852691
86,-218.87288509504845,0,1,2,-0.7,-0.5,1.891765315489366,0.023333333333333334,-10.0,-0.02,-1.8292642990737316,-3.4803470116140556,-200.0,0.774204062193175
87,-222.84915021026168,0,1,6,-0.7,-0.5,0.5561846225418694,0.024999999999999998,0.3836532589227337,-0.060000000000000005,-9.26824373227998,-3.173462799008759,-200.0,0.7734802201123423
88,-206.59010165850196,0,1,8,-0.7,-0.5,0.9276690378996125,0.021666666666666667,10.0,-0.08,-12.23445675569329,-1.5742304525522695,-200.0,0.7725162226266641
89,-220.97494119561767,0,1,2,-0.7,-0.5,1.7792668736879036,0.023333333333333334,-10.0,-0.02,-3.269243647423737,-3.6887818127617447,-200.0,0.772275424021119
90,-222.68102780067167,0,1,2,-0.7,-0.5,0.5621893137231403,0.023333333333333334,-10.0,-0.02,-4.6808533847879,-3.9850317309159236,-200.0,0.7720347056683997
91,-222.54272584001643,0,1,2,-0.7,-0.5,0.5613113159398678,0.021666666666666667,-10.0,-0.02,-4.531582714936992,-3.9954502312899085,-200.0,0.7717940675417595
