episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-206.27273404451353,0,1,1,-0.7,-0.5,0.560062152734686,0.023333333333333334,0.0,-0.01,-2.2627814378889104,-3.9999526066246087,-200.0,0.9
2,-216.89014122264317,0,1,2,1.7,0.5,4.228446486511829,0.023333333333333334,-10.0,-0.02,-2.0525683488073287,-3.995888348274945,-200.0,0.8998300169988668
3,-218.80788094010862,0,1,2,1.0,-0.5,3.731779389754961,0.023333333333333334,-10.0,-0.02,-3.6323256356581757,-3.8760518672834086,-200.0,0.8996600679909342
4,-215.84409839869616,0,1,2,1.0,-0.5,3.2638476831872243,0.021666666666666667,-10.0,-0.02,-1.8033924979193952,-3.8148860407189864,-200.0,0.8994901529694046
5,-232.4765297021261,0,1,4,0.0,0.5,2.7110067959513167,0.023333333333333334,-24.234131893922655,-0.04,-3.54270472833718,-3.310248158375318,-200.0,0.8991504248583688
6,-194.75240514735412,0,1,5,1.7,0.5,4.140671981111312,0.023333333333333334,20.0,-0.05,-3.5996895309908763,-3.5739314561257522,-200.0,0.8987259557720543
7,-180.67655015459482,0,1,4,1.7,0.5,2.964653648629698,0.02,20.206502475071968,-0.04,-2.334935748084537,3.96222933244881,-200.0,0.8983865332787697
8,-206.24109213049272,0,1,1,-0.7,-0.5,0.5636665067084817,0.021666666666666667,0.0,-0.01,-2.267109554520607,-3.963982575972122,-200.0,0.8983016988672331
9,-213.46580721514658,0,1,6,1.0,-0.5,3.167984485319389,0.02,-10.0,-0.060000000000000005,-6.070584228493938,3.645966063740182,-200.0,0.8977928705116843
10,-194.2043852792556,0,1,8,1.7,0.5,3.0065866852935637,0.024999999999999998,-0.6841218197989996,-0.08,-13.995153948827223,3.2483433170956935,-200.0,0.897114907436663
11,-174.30174200040045,0,1,4,-0.7,-0.5,1.0102349976852458,0.02,30.0,-0.04,-4.248487256289062,2.1415997325528076,-200.0,0.896776129233846
12,-239.54449950642632,0,1,4,-0.7,-0.5,2.1502426174172635,0.023333333333333334,-30.0,-0.04,-1.8224076752800584,-3.9877538765940335,-200.0,0.8964374865152114
13,-219.56975458130714,0,1,2,0.0,0.5,2.795816457920451,0.023333333333333334,-10.0,-0.02,-1.7832099080095831,-3.933528322652358,-200.0,0.8962682159455295
14,-194.6825253843525,0,1,3,1.0,-0.5,2.3342237717209913,0.02,4.4497385564668335,-0.03,-2.2054571335709325,3.829723746208127,-200.0,0.8960143735590077
15,-187.3014654597315,0,1,2,1.7,0.5,2.090893548104047,0.024999999999999998,10.0,-0.02,-4.4103305807162805,3.5210507835886213,-200.0,0.8958451876034553
16,-198.31388339649715,0,1,4,1.0,-0.5,2.313877923205068,0.023333333333333334,-0.08675042655958976,-0.04,-4.6223382982107974,3.3360112639430746,-200.0,0.8955069171870076
17,-241.6163985716534,0,1,4,1.7,0.5,4.236813311488193,0.021666666666666667,-30.0,-0.04,-4.04397625752163,-3.9870308087003012,-200.0,0.8951687820516683
18,-186.67532240026333,0,1,2,1.0,-0.5,1.1408269247799785,0.023333333333333334,10.0,-0.02,-4.638013900744153,3.9967415712693106,-200.0,0.8949997651975068
19,-187.4881515920297,0,1,2,1.7,0.5,2.1150387229693206,0.023333333333333334,10.0,-0.02,-4.431142011848355,3.4797542148149927,-200.0,0.8948307821433359
20,-222.62362533532524,0,1,4,1.0,-0.5,3.888840329566738,0.02,-10.0,-0.04,-5.142619504926454,-3.9504486807277766,-200.0,0.8944929174079306
21,-187.64018783738044,0,1,2,1.7,0.5,2.0821525552674567,0.024999999999999998,10.0,-0.02,-4.671276497564202,3.5234078226860537,-200.0,0.8943240357131814
22,-198.79261145882282,0,1,9,1.7,0.5,2.002087949584976,0.02,5.7063943633486325,-0.09,-7.598941634637109,3.98993607386722,-200.0,0.8935644859297117
23,-185.2681192300384,0,1,2,1.7,0.5,2.1270787362846035,0.023333333333333334,10.0,-0.02,-2.247219584218738,3.4598451380381103,-200.0,0.8933957899026908
24,-198.22207939585329,0,1,1,1.0,-0.5,1.143632084595025,0.023333333333333334,0.0,-0.01,-2.1871284064327257,3.97504901057945,-200.0,0.893311454540539
25,-219.6420437432474,0,1,2,1.7,0.5,4.409922419557242,0.023333333333333334,-10.0,-0.02,-1.8093119998580605,-3.8172918548598163,-200.0,0.8931428091147355
26,-199.0838854400048,0,1,1,1.7,0.5,2.1603593010818636,0.023333333333333334,0.0,-0.01,-2.403399724824371,3.3295142848195702,-200.0,0.8930584990493976
27,-181.31031972223593,0,1,7,1.0,-0.5,1.3031793320583118,0.023333333333333334,20.0,-0.07,-7.806475462573716,3.9545794652920407,-200.0,0.8924685646012088
28,-218.67558854269978,0,1,2,1.0,-0.5,3.549384117354544,0.021666666666666667,-10.0,-0.02,-1.8042748184677238,-3.516149731736256,-200.0,0.8923000877365367
29,-179.16562976738305,0,1,3,0.0,0.5,1.3199730865038866,0.02,20.0,-0.03,-2.254994410665697,3.5494518184018693,-200.0,0.8920474356099296
30,-219.55630127666518,0,1,2,1.7,0.5,4.452683594516464,0.023333333333333334,-10.0,-0.02,-1.7832099080095831,-3.791747120958324,-200.0,0.8918790429626337
31,-219.3420256087801,0,1,2,1.7,0.5,4.480507263064437,0.021666666666666667,-10.0,-0.02,-1.8089609228884134,-3.758204714039449,-200.0,0.8917106839904995
32,-220.2821179309508,0,1,2,1.7,0.5,4.415485690030291,0.021666666666666667,-10.0,-0.02,-3.3831645584912513,-3.8324659732155784,-200.0,0.8915423586867929
33,-213.1712944158203,0,1,2,1.7,0.5,4.112043365014053,0.02666666666666667,-10.0,-0.02,-3.7838445940569354,3.723310983922109,-200.0,0.8913740670447807
34,-220.15529745679973,0,1,2,1.7,0.5,4.417200992429375,0.023333333333333334,-10.0,-0.02,-3.3947785765005545,-3.8183162844759235,-200.0,0.8912058090577313
35,-179.10722688727222,0,1,3,1.0,-0.5,2.395709446272253,0.023333333333333334,20.0,-0.03,-2.2782977282291244,3.7449520769487386,-200.0,0.8909534851654902
36,-214.21474935408895,0,1,2,1.7,0.5,4.141967459384215,0.024999999999999998,-10.0,-0.02,-3.8976582587596065,2.9233779881595323,-200.0,0.8907853112864057
37,-211.11879024211234,0,1,8,1.0,-0.5,1.1283563462003863,0.02,-5.979295010416221,-0.08,-7.985481953894265,0.25082868912380857,-200.0,0.8901129520169434
38,-219.03511065150212,0,1,2,1.0,-0.5,3.594077940750671,0.023333333333333334,-10.0,-0.02,-1.7987668519200288,-3.4374074124845913,-200.0,0.8899449462276791
39,-187.593955774527,0,1,2,1.7,0.5,2.122790786616829,0.023333333333333334,10.0,-0.02,-4.473377010518183,3.466933260204042,-200.0,0.8897769740362126
40,-194.2912481391388,0,1,6,0.0,0.5,1.8460936277660764,0.024999999999999998,20.241934499431864,-0.060000000000000005,-9.934481518694572,-2.08280616579468,-200.0,0.8892732589814186
41,-220.3265116927408,0,1,2,1.7,0.5,4.411256362031522,0.021666666666666667,-10.0,-0.02,-3.427073850128004,-3.8243329891974907,-200.0,0.8891054211139686
42,-220.61911387217796,0,1,2,1.7,0.5,4.412968374085393,0.024999999999999998,-10.0,-0.02,-3.449038679348754,-3.8173168428041957,-200.0,0.8889376168107356
43,-198.71937982090645,0,1,1,1.7,0.5,2.094736823587568,0.02,0.0,-0.01,-2.2227931932857348,3.5134133723792926,-200.0,0.8888537272436027
44,-198.45124093398533,0,1,1,1.0,-0.5,1.2020752394949552,0.024999999999999998,0.0,-0.01,-2.4146098556552906,3.9733689216699593,-200.0,0.8887698460650072
45,-198.44666043990847,0,1,1,1.0,-0.5,1.1974282160100025,0.02,0.0,-0.01,-2.4073004302377727,3.9706399903292926,-200.0,0.8886859732741101
46,-198.4264549079452,0,1,1,1.0,-0.5,1.221830854450559,0.023333333333333334,0.0,-0.01,-2.409883918621361,3.9934290106761345,-200.0,0.8886021088700727
47,-186.62910071083866,0,1,2,1.0,-0.5,1.1412578662795825,0.024999999999999998,10.0,-0.02,-4.5761952292281505,3.999557992095411,-200.0,0.8884344052192229
48,-199.73203372209602,0,1,6,1.7,0.5,4.140502664334741,0.023333333333333334,10.0,-0.060000000000000005,-4.0351608888878205,-2.3675973150492005,-200.0,0.8879314954641051
