episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,610.9260666774694,0,1,28,-0.7,-0.5,0.4523977200501436,0.15,66.94004364419473,-1.4000000000000006,-59.68793202697949,13.239275116564235,-25.0,0.8992353441467483
2,326.10730835750456,0,1,26,-0.7,-0.5,0.7548721943224984,0.17,41.727630258382426,-1.3000000000000005,-56.53644239977618,7.354750542098854,-25.0,0.8984996590247557
3,601.241562273707,1,0,19,-0.7,-0.5,0.18868839696635084,0.32,86.77659582668501,-0.9500000000000003,-30.414580308813466,9.675325725068834,50.0,0.8979624460427745
4,539.8730913249269,0,1,28,-0.7,-0.5,0.6565706221794255,0.15,50.60618869041228,-1.4000000000000006,-42.040462093334504,12.515626687019733,-25.0,0.8971713836463449
5,518.5822758028085,0,1,24,-0.7,-0.5,0.533609032401323,0.17,59.18475156250425,-1.2000000000000004,-44.9894256925978,7.295225482186049,-25.0,0.896493917561993
6,277.8586732484706,0,1,18,-0.7,-0.5,0.8105133694584805,0.18,37.36435699856949,-0.9000000000000002,-22.384518061830295,-8.493213721351028,-25.0,0.8959861735498917
7,583.7117065393879,0,1,28,-0.7,-0.5,0.4295606291933252,0.18,68.73690748379595,-1.4000000000000006,-49.70497459868488,-7.383566797353618,-25.0,0.8951969548139468
8,257.99738197610503,0,1,16,-0.7,-0.5,0.7160616759220083,0.18,44.63425254085749,-0.8000000000000002,-22.480237489309964,-5.5494487668767345,-25.0,0.8947463032891347
9,66.0245307467379,0,1,28,-0.7,-0.5,1.0246676767239677,0.18,19.50126768066681,-1.4000000000000006,-69.88291347220843,-12.83560996328945,-25.0,0.8939582412255687
10,491.99500707344566,0,1,28,-0.7,-0.5,0.6091923756980274,0.19,53.37762100152543,-1.4000000000000006,-54.47697944170474,-0.4865279271878853,-25.0,0.8931709143434572
11,237.6790600244134,0,1,11,-0.7,-0.5,0.5340112110377682,0.18,60.40196473699743,-0.5499999999999999,-17.985531980114082,2.3998690212222717,-25.0,0.8928618083477603
12,485.09556927215493,0,1,21,-0.7,-0.5,0.6577758185179166,0.17,50.509793115945726,-1.0500000000000003,-15.467215614259974,5.623065461263071,-25.0,0.8922720115348848
13,406.65887588369844,0,1,18,-0.7,-0.5,0.5935128541140748,0.12,54.79396996271262,-0.9000000000000002,-16.480189344535518,0.1518139363617066,-25.0,0.8917667999066086
14,388.3636576097998,0,1,33,-0.7,-0.5,0.39823515062096737,0.18,70.34810909786816,-1.6500000000000008,-99.28380955014465,-9.143397448380245,-25.0,0.8908413655089447
15,492.8461834596614,0,1,23,-0.7,-0.5,0.6399970996055343,0.12,51.93194745369087,-1.1500000000000004,-27.53081302753953,-4.4395073247995605,-25.0,0.8901969675128499
16,648.5052396514552,0,1,41,-0.7,-0.5,0.38768211126740293,0.19,72.02751881315703,-2.0500000000000007,-95.8669564866077,-7.149561466641878,-25.0,0.8890494826171983
17,889.9715946953028,1,0,40,-0.7,-0.5,0.2486503746044881,0.24,83.14996008528735,-2.000000000000001,-85.15419426728107,5.385642914496753,50.0,0.8879314954641051
18,824.5351685165444,1,0,31,-0.7,-0.5,0.2458083313643907,0.35,82.72937579722044,-1.5500000000000007,-53.823499507589425,12.986959026188268,50.0,0.8870660801270557
19,145.89554766912283,0,1,10,-0.7,-0.5,0.7736876071115982,0.12,39.76647591252529,-0.49999999999999994,-16.283474018535436,-4.736890951378545,-25.0,0.886787104598851
20,118.76495633345058,0,1,22,-0.7,-0.5,1.154954439586221,0.19,9.265132523483388,-1.1000000000000003,-26.790343921715113,-14.250354456990275,-25.0,0.8861736856699095
