episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-185.7908263225518,0,1,29,-0.7,-0.5,0.42925928726237866,0.18,33.76263122159914,-1.4500000000000006,-187.00655172774339,-0.4673941953171743,-25.0,0.8960425745081395
2,-150.31261170826951,0,1,26,-0.7,-0.5,0.5042181178633354,0.19,30.97371698558504,-1.3000000000000005,-160.8530679800175,0.9655763604945699,-25.0,0.8923843219569512
3,-28.74761886832751,0,1,16,-0.7,-0.5,0.503884503336685,0.12,30.582600747367774,-0.8000000000000002,-40.88422747598701,0.15353986346591808,-25.0,0.8901409562487453
4,-39.23414167714786,0,1,17,-0.7,-0.5,0.6411973771702929,0.16,25.40861216596902,-0.8500000000000002,-43.90677488066733,0.23622735998101607,-25.0,0.8877639259225251
5,-63.055988597749014,0,1,19,-0.7,-0.5,0.5772723894254359,0.19,28.419467756690313,-0.9500000000000003,-69.75060683684488,0.4655052939121309,-25.0,0.8851152028487042
6,47.56719585989118,1,0,20,-0.7,-0.5,0.2319606134596526,0.33,41.65750653222636,-1.0000000000000002,-52.877531807568005,0.8988201305481704,50.0,0.8823361198840407
7,-20.184568618941313,0,1,14,-0.7,-0.5,0.7131233056298657,0.18,22.431135753963588,-0.7000000000000001,-23.437135960057063,0.2985560011662587,-25.0,0.8803962663135955
8,-23.175423992044358,0,1,16,-0.7,-0.5,0.4483619491856623,0.17,32.79133498848642,-0.8000000000000002,-37.35965722899021,-0.028566058168637554,-25.0,0.878184826167437
9,-182.1780647849105,0,1,31,-0.7,-0.5,0.7364865292590961,0.18,21.277879364393456,-1.5500000000000007,-170.20572082174846,-0.7981681804521503,-25.0,0.8739169061863316
10,-33.02138994164474,1,0,33,-0.7,-0.5,0.24524148387375908,0.38,41.15451385950387,-1.6500000000000008,-124.72908575870777,0.2689836028671605,50.0,0.8693978021303631
11,-54.768710403781,0,1,25,-0.7,-0.5,0.8874480862699202,0.14,16.02307351734418,-1.2500000000000004,-44.8266481581156,-0.24823856480651751,-25.0,0.865990747580984
12,-82.39402536099868,0,1,21,-0.7,-0.5,0.7168517653197563,0.17,22.89177603973796,-1.0500000000000003,-81.73645914729622,0.07324919474330394,-25.0,0.8631397720819441
13,-151.6336024178463,0,1,31,-0.7,-0.5,0.7762783286012801,0.14,20.46986189309328,-1.5500000000000007,-137.92063759722166,-0.07329055113734251,-25.0,0.8589493844159929
14,-114.40946792130816,0,1,22,-0.7,-0.5,0.9438245444858869,0.16,13.768020532859994,-1.1000000000000003,-97.26154680291891,-0.12393458947715108,-25.0,0.8559886679703828
15,-77.74183531490141,0,1,27,-0.7,-0.5,0.5078516456038003,0.13,31.20693489866951,-1.3500000000000005,-85.12387379269124,0.07797145373213032,-25.0,0.852369867372585
16,-56.104477660493295,0,1,14,-0.7,-0.5,0.5102686018702959,0.12,30.312968919662787,-0.7000000000000001,-67.06126813407252,0.08109582777728075,-25.0,0.8504998535466114
17,-10.791223947939429,1,0,34,-0.7,-0.5,0.23928544065135052,0.24,41.22254877009513,-1.7000000000000008,-100.75410779098944,0.19329187138141646,50.0,0.8459765159371839
18,-12.932522852887995,0,1,10,-0.7,-0.5,0.5284131157590854,0.17,30.383174121715207,-0.49999999999999994,-23.301368002556515,0.29095085455244063,-25.0,0.8446509933196372
19,-72.45902615748436,0,1,18,-0.7,-0.5,0.6228863566325559,0.14,26.215695915751812,-0.9000000000000002,-77.38123368761165,0.5727246332432354,-25.0,0.8422706126958991
20,-102.49289355406528,0,1,23,-0.7,-0.5,0.7281200984567984,0.15,22.431737604269983,-1.1500000000000004,-98.32886204834793,0.2877692868000966,-25.0,0.8392393889046762
21,-116.68627320536083,0,1,27,-0.7,-0.5,1.1981736419405078,0.18,3.6389754556565617,-1.3500000000000005,-85.10313321927535,-0.45212927202959996,-25.0,0.8356957907303174
22,-223.90468532086106,0,1,40,-0.7,-0.5,0.4576672265314995,0.14,33.25922483911258,-2.000000000000001,-212.72340055643508,-0.526084817363857,-25.0,0.8304752399633639
23,-146.4044823080496,0,1,36,-0.7,-0.5,0.4984727139521588,0.15,31.04936550556797,-1.800000000000001,-145.8147396478743,-0.49517772464388976,-25.0,0.8258064090228896
24,-32.5138580586653,0,1,17,-0.7,-0.5,0.721492039205929,0.13,22.661314266831063,-0.8500000000000002,-32.89507756150745,0.17148080674690735,-25.0,0.8236114019257978
25,59.21064695825266,1,0,13,-0.7,-0.5,0.23948339495508744,0.4,41.14484982240096,-0.65,-39.82361135978185,0.5513384768710512,50.0,0.8219370584154375
26,-39.58916041498489,0,1,15,-0.7,-0.5,0.4783922249853601,0.17,31.977910634930417,-0.7500000000000001,-52.7508811816442,0.5627604289943443,-25.0,0.8200096260637095
27,-35.4380510279213,0,1,18,-0.7,-0.5,0.6064114609776161,0.17,26.800046991130298,-0.9000000000000002,-41.12625254146702,0.6273729127014438,-25.0,0.8177030587663895
28,61.46951062791765,1,0,10,-0.7,-0.5,0.24731327153127572,0.31,41.06248300666871,-0.49999999999999994,-35.41444109309888,0.3212257816939501,50.0,0.8164246193305772
29,-290.10248602344285,0,1,42,-0.7,-0.5,1.3226518274730243,0.15,-1.946271841744343,-2.1000000000000005,-231.36211933553642,-0.757447965845202,-25.0,0.8110783806610631
30,-185.95837655864779,0,1,36,-0.7,-0.5,1.6261958437710433,0.12,-13.528179508413666,-1.800000000000001,-119.8849142798095,-0.6674099987989413,-25.0,0.8065255824301759
31,-49.84888139067182,0,1,19,-0.7,-0.5,0.7323142519803503,0.18,22.22842812207966,-0.9500000000000003,-49.9394158321963,0.024690569860544742,-25.0,0.8041337072203284
32,-190.3792274626985,0,1,29,-0.7,-0.5,1.543514594810964,0.19,-10.779542575804228,-1.4500000000000006,-131.0724484412183,-0.7143641352053682,-25.0,0.80049752216143
33,-128.0863283325146,0,1,28,-0.7,-0.5,1.0526893551449026,0.15,9.453901453362237,-1.4000000000000006,-104.07290694947052,-0.34308198658222566,-25.0,0.7970033597781596
34,-70.05585637345708,0,1,21,-0.7,-0.5,0.7816169903824982,0.16,20.30116964449264,-1.0500000000000003,-66.76217374597235,0.21302545059339084,-25.0,0.7943934180812207
35,-50.73027323662262,0,1,14,-0.7,-0.5,0.7194750394322331,0.19,22.32299737819469,-0.7000000000000001,-50.39853739170759,0.09278084939513143,-25.0,0.7926585249348292
