episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-41.456180116966095,0,1,17,-0.7,-0.5,0.6033659649943457,0.16,27.431292024329984,-0.8500000000000002,-49.07221012727756,0.36447279662382526,-25.0,0.8977363528709258
2,-55.81857164913576,0,1,14,-0.7,-0.5,0.9190003654379447,0.17,14.381931420341797,-0.7000000000000001,-45.967861870924736,-0.0860636552514158,-25.0,0.89576060731378
3,-70.86271919520726,0,1,17,-0.7,-0.5,0.3939286669403945,0.19,35.2069858564975,-0.8500000000000002,-84.2866852645732,0.17455561153148824,-25.0,0.8933676771782421
4,-296.1095861221553,0,1,48,-0.7,-0.5,2.071052135237764,0.19,-31.321090289505285,-2.3999999999999995,-165.2795477434551,-0.7636116335335077,-25.0,0.8866476517028155
5,-61.83226109992936,0,1,23,-0.7,-0.5,0.4205511137032289,0.19,34.13905326894617,-1.1500000000000004,-74.79461160924777,-0.005271444493133659,-25.0,0.8834466415604819
6,-59.62859478071327,0,1,18,-0.7,-0.5,1.0086393791763208,0.18,10.713127275702863,-0.9000000000000002,-43.97352256627169,-0.4477075799555026,-25.0,0.8809500483979888
7,-49.682020356410995,0,1,19,-0.7,-0.5,0.7415243584334319,0.14,21.076633729501395,-0.9500000000000003,-47.87946656790914,-0.34413703039863486,-25.0,0.8783228684750043
8,-58.35884874355171,0,1,17,-0.7,-0.5,0.7581149786956982,0.19,20.636453017833272,-0.8500000000000002,-55.7229331220812,-0.11490786799809238,-25.0,0.8759792753390879
9,-29.33152644764145,0,1,16,-0.7,-0.5,0.5900288606024572,0.18,27.960273839019603,-0.8000000000000002,-39.28496892730071,0.2710715988590948,-25.0,0.8737795981446218
10,-78.55549988336426,0,1,25,-0.7,-0.5,0.8274200860957788,0.16,18.422836954341054,-1.2500000000000004,-70.93869303372189,0.0827418758546683,-25.0,0.8703543240955004
11,-79.82860710260991,0,1,31,-0.7,-0.5,0.6263062885070216,0.17,26.51359518228711,-1.5500000000000007,-81.25080188702682,0.09913270590451184,-25.0,0.8661267573727487
12,-76.24010061303278,0,1,22,-0.7,-0.5,0.537681161399397,0.17,29.429488654215486,-1.1000000000000003,-83.1066008091564,0.5000736372679307,-25.0,0.8631397720819441
13,-114.35057202846897,0,1,29,-0.7,-0.5,0.3954167593837259,0.19,35.27632061809491,-1.4500000000000006,-127.38691670400982,0.6095643606309592,-25.0,0.8592190791574247
