episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-45.343243678335625,0,1,20,-0.7,-0.5,0.4466632289517143,0.14,33.066473554028114,-1.0000000000000002,-59.080442697771005,0.2059980125826233,-25.0,0.8893012352229862
2,-79.45699776047144,0,1,25,-0.7,-0.5,0.8549495344199108,0.15,16.75842643966299,-1.2500000000000004,-68.68934097759578,0.12146623634382614,-25.0,0.8754288059990295
3,-107.90616792179232,0,1,28,-0.7,-0.5,0.5442190806278878,0.14,29.79521170937337,-1.4000000000000006,-111.82062653629384,-0.08169527569703172,-25.0,0.8601637190158791
4,-175.11085077059073,0,1,34,-0.7,-0.5,0.6267210470355564,0.19,26.45216481548661,-1.7000000000000008,-156.37649412212681,-0.6217092838412119,-25.0,0.8420065665018109
5,72.06768444265802,1,0,20,-0.7,-0.5,0.1857159555284728,0.41,44.137201836169034,-1.0000000000000002,-31.12936945003365,0.8510577853203363,50.0,0.831516567680856
6,-88.09055205519086,0,1,24,-0.7,-0.5,0.9712702400939687,0.18,12.24144245959408,-1.2000000000000004,-69.59332500364998,-0.060236803830015395,-25.0,0.8191118053305656
7,-23.240988493992194,0,1,17,-0.7,-0.5,0.7325465772336672,0.19,22.21916868828491,-0.8500000000000002,-23.40690018090905,0.22828355890238217,-25.0,0.8104444128671143
8,-175.0072354598208,0,1,32,-0.7,-0.5,1.5738165174696706,0.19,-11.431659951301114,-1.6000000000000008,-113.99186302198683,-0.7782447955391054,-25.0,0.7943934180812207
9,-452.85750604196284,0,1,55,-0.7,-0.5,2.0315981240177803,0.18,-29.742633397706168,-2.7499999999999982,-314.6573584381615,-0.21535980458767123,-25.0,0.7675933302306596
10,-38.285849080874115,0,1,25,-0.7,-0.5,0.49935168250646184,0.14,31.546930944569123,-1.2500000000000004,-46.697108561032266,0.41922716344898636,-25.0,0.7557325557346428
11,-51.851087072819546,0,1,15,-0.7,-0.5,0.6099186508807835,0.18,26.705107881068166,-0.7500000000000001,-58.55546501871291,0.4409523174252926,-25.0,0.7487103994764586
