episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-32.51919852090908,0,1,13,-0.7,-0.5,0.6511990855717746,0.16,0.0,-0.65,-12.58601190516951,0.2534318926005499,-25.0,0.8983016988672331
2,17.45565293966435,1,0,23,-0.7,-0.5,0.2245814086057666,0.34,0.0,-1.1500000000000004,-40.018965375511655,0.4976473868910538,50.0,0.8950561003930056
3,-38.10885758078112,0,1,15,-0.7,-0.5,0.885545488949241,0.13,0.0,-0.7500000000000001,-15.682065957941433,-0.034105880439734726,-25.0,0.8929460987430446
4,-81.76393687618656,0,1,22,-0.7,-0.5,1.6446556410885895,0.19,0.0,-1.1000000000000003,-43.62873469401663,-0.8722218835917286,-25.0,0.8898609559326409
5,-49.636852826603985,0,1,25,-0.7,-0.5,0.4700113872729167,0.19,0.0,-1.2500000000000004,-28.543509839445594,0.044642095591899245,-25.0,0.8863688156275088
6,-63.55643451172777,0,1,16,-0.7,-0.5,0.6038432494837211,0.12,0.0,-0.8000000000000002,-40.30477618691973,-0.33403919696082207,-25.0,0.8841414699000472
7,33.81948270909555,1,0,24,-0.7,-0.5,0.16083922595804456,0.36,0.0,-1.2000000000000004,-24.52193564330384,0.6030764431475385,50.0,0.8808115682635876
8,-63.39768968856246,0,1,23,-0.7,-0.5,1.0156855851290891,0.19,0.0,-1.1500000000000004,-35.40554473282563,-0.2641527291763115,-25.0,0.8776328869501733
9,-85.80948862560126,0,1,27,-0.7,-0.5,0.5875424845054746,0.19,0.0,-1.3500000000000005,-60.329164227607805,0.7066485019563662,-25.0,0.8739169061863316
10,-12.51238420652804,1,0,31,-0.7,-0.5,0.24856869294632586,0.32,0.0,-1.5500000000000007,-56.850553705133194,0.04428407833520143,50.0,0.8696709802582318
11,-76.63422109753174,0,1,23,-0.7,-0.5,0.47901424575883333,0.17,0.0,-1.1500000000000004,-52.991504184291344,0.35350825591361823,-25.0,0.8665349227842845
12,-36.245299158280325,0,1,17,-0.7,-0.5,0.8714733444523264,0.14,0.0,-0.8500000000000002,-15.47896326853901,-0.15029907962350597,-25.0,0.8642246815569761
13,-256.9118547631906,0,1,58,-0.7,-0.5,1.9800743754387908,0.18,0.0,-2.8999999999999977,-141.23111551816356,-0.7670367968660634,-25.0,0.856391763069745
14,-37.69611966366389,0,1,12,-0.7,-0.5,0.5101575063280587,0.14,0.0,-0.6,-17.506731780152826,0.14764940794135428,-25.0,0.85478059125248
15,-40.83205037544185,0,1,12,-0.7,-0.5,0.43011204031186945,0.19,0.0,-0.6,-21.956410313247165,0.3531310191967678,-25.0,0.853172638558653
16,-41.69777153764713,0,1,15,-0.7,-0.5,0.739200737245008,0.12,0.0,-0.7500000000000001,-19.302354242266695,0.11365788027104629,-25.0,0.8511672147864632
