episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-32.54390492324428,0,1,12,-0.7,-0.5,0.6257519009477781,0.13,0.0,-0.6,-13.299672081964465,0.35423168025944085,-25.0,0.8937894664553632
2,-55.36333040947473,0,1,18,-0.7,-0.5,0.7282116257946541,0.18,0.0,-0.9000000000000002,-33.75570539231278,-0.15290885697253143,-25.0,0.8837245034154052
3,-36.915976994732134,0,1,15,-0.7,-0.5,0.7065145731423429,0.18,0.0,-0.7500000000000001,-16.207227772394326,-0.017282071472118243,-25.0,0.8754288059990295
4,-50.46061419986481,0,1,16,-0.7,-0.5,0.4870128531573628,0.19,0.0,-0.8000000000000002,-32.2972785627324,0.5441662836069379,-25.0,0.8666710232794748
5,-87.0904633394077,0,1,29,-0.7,-0.5,1.6611431354995103,0.13,0.0,-1.4500000000000006,-40.89784573316768,-0.8594335815579417,-25.0,0.8510336980440363
6,-56.00496005899603,0,1,16,-0.7,-0.5,0.8093341474812288,0.18,0.0,-0.8000000000000002,-32.83605590147791,0.1137290602665294,-25.0,0.842534746920056
7,-37.065635798215425,0,1,13,-0.7,-0.5,0.6358648176717424,0.16,0.0,-0.65,-16.893692672047436,0.18652757110124774,-25.0,0.8356957907303174
8,-37.28338068496899,0,1,10,-0.7,-0.5,0.8735495624924325,0.17,0.0,-0.49999999999999994,-14.961596787091477,-0.014440374283027912,-25.0,0.8304752399633639
9,-3.0970762695169824,1,0,31,-0.7,-0.5,0.2471595862029217,0.41,0.0,-1.5500000000000007,-55.94077408995892,0.7621732338847429,50.0,0.8145109508645355
10,-37.23972098976658,0,1,13,-0.7,-0.5,0.6821043018411025,0.16,0.0,-0.65,-16.304496757460733,-0.17381770961549003,-25.0,0.8079138181585478
11,-41.37127494500156,0,1,14,-0.7,-0.5,0.7490252753231895,0.12,0.0,-0.7000000000000001,-19.637103418973474,-0.09616681705844532,-25.0,0.8008728647503383
12,-48.7853701902005,0,1,23,-0.7,-0.5,0.5938506958348819,0.14,0.0,-1.1500000000000004,-25.95621732583932,0.07129436086606411,-25.0,0.7894473006709865
13,-38.6119355737805,0,1,11,-0.7,-0.5,0.804405538203379,0.12,0.0,-0.5499999999999999,-16.477571963192318,0.4238519356605449,-25.0,0.7840445215353296
14,-50.82127972191689,0,1,18,-0.7,-0.5,0.6089005781393003,0.16,0.0,-0.9000000000000002,-31.094410222521457,0.6131066620222401,-25.0,0.7752886277103294
15,-56.507671033189794,0,1,17,-0.7,-0.5,0.9167472253246471,0.13,0.0,-0.8500000000000002,-30.974436054190505,-0.2119581734084237,-25.0,0.7671150941069261
16,-110.62303661739922,0,1,32,-0.7,-0.5,1.6407516681528427,0.19,0.0,-1.6000000000000008,-57.15396279408006,-0.7013360355133813,-25.0,0.751978668036021
17,-56.100341993044395,0,1,28,-0.7,-0.5,0.59154478206239,0.14,0.0,-1.4000000000000006,-30.409379610637846,-0.11813995727396831,-25.0,0.738996609074659
