episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-122.47755200054573,0,1,22,-0.7,-0.5,0.8209925428676934,0.17,0.4523325249347301,-1.1000000000000003,-140.1550498669304,-0.6194794619204536,-25.0,0.8881829126234326
2,-45.848247906960175,0,1,10,-0.7,-0.5,0.5196372409345047,0.19,0.7681227535748854,-0.49999999999999994,-60.12100733069241,1.7881235551162082,-25.0,0.8826136115033693
3,-78.40468043286276,0,1,12,-0.7,-0.5,0.6315306655937212,0.13,0.6385175955071754,-0.6,-87.30266972486616,-0.2760327822685782,-25.0,0.8759792753390879
4,20.449540292360183,1,0,14,-0.7,-0.5,0.23746445787778123,0.24,1.0505603804624393,-0.7000000000000001,-83.19927330153519,0.6025922153596841,50.0,0.8683059997575197
5,-76.99581050463104,0,1,16,-0.7,-0.5,0.6369396342142292,0.15,0.6286434176003607,-0.8000000000000002,-100.76945254248426,1.0021584091237623,-25.0,0.8596237898662491
6,-38.427696938227335,0,1,15,-0.7,-0.5,0.49660069360415465,0.16,0.7911623262545759,-0.7500000000000001,-63.882555909028724,0.8250933718825759,-25.0,0.8515678985564513
7,-31.321205556414334,0,1,18,-0.7,-0.5,0.6127151848057573,0.17,0.6655351388330901,-0.9000000000000002,-63.32115370515925,2.7940018058356637,-25.0,0.8420065665018109
8,-53.65534236068251,0,1,15,-0.7,-0.5,0.39802146798496124,0.19,0.8753767974760455,-0.7500000000000001,-85.93354143174899,1.528922820178994,-25.0,0.8341259694933674
9,-57.784997064643704,0,1,14,-0.7,-0.5,0.4284025070876461,0.12,0.8450342044446053,-0.7000000000000001,-83.27327275975654,2.5842670169193616,-25.0,0.826841507480544
10,-359.8549847345019,0,1,38,-0.7,-0.5,0.337034154217308,0.19,0.9290498194963743,-1.900000000000001,-416.6316205505136,-2.045358343783138,-25.0,0.8074087106676466
11,-84.80437345726176,0,1,15,-0.7,-0.5,0.7282801718715649,0.19,0.5608662688585982,-0.7500000000000001,-96.3014923389843,-0.24906072025196901,-25.0,0.7998723680766754
12,-32.5289185875143,0,1,21,-0.7,-0.5,0.5815188130101264,0.15,0.7065060772168791,-1.0500000000000003,-77.11137394600809,1.406281256332692,-25.0,0.7894473006709865
13,-76.24777542270634,0,1,15,-0.7,-0.5,0.4088819401264797,0.18,0.86502825414447,-0.7500000000000001,-99.7773512592499,0.8971852793084234,-25.0,0.7820896770955812
14,-51.5495879275183,0,1,13,-0.7,-0.5,0.5286947533896317,0.17,0.7488515293695784,-0.65,-65.5003058908516,3.270787284386445,-25.0,0.7757723146732095
15,-338.9252487651959,0,1,36,-0.7,-0.5,1.0425909614635518,0.19,0.23387659427905994,-1.800000000000001,-311.30085141224106,0.2819743977800271,-25.0,0.758561139353375
16,-39.39303789714624,0,1,15,-0.7,-0.5,0.8130266949466896,0.14,0.47499818247957215,-0.7500000000000001,-50.19304843553219,0.032072373616738314,-25.0,0.75151083821793
17,-81.9912841620075,0,1,13,-0.7,-0.5,0.710730748502334,0.13,0.5784153278542759,-0.65,-93.78633796891414,1.9795546396067603,-25.0,0.7454573473043219
18,-20.4024940550426,0,1,23,-0.7,-0.5,0.6334432895792262,0.19,0.6399549872350624,-1.1500000000000004,-74.33245169211492,1.9968921517267024,-25.0,0.7348750065924577
19,-150.23680134903992,0,1,21,-0.7,-0.5,0.7218287497348755,0.17,0.5672704116791659,-1.0500000000000003,-171.59869593472476,0.2676717750773272,-25.0,0.725353562127834
20,-71.95898448714935,0,1,11,-0.7,-0.5,0.4368309603366032,0.16,0.8337199691001247,-0.5499999999999999,-80.8573415343865,-0.09674202197226367,-25.0,0.7204190845371458
21,-14.283954948939542,1,0,23,-0.7,-0.5,0.22065579651316894,0.26,1.0672901648597255,-1.1500000000000004,-143.4789384300827,0.38868840476749655,50.0,0.7102177354539738
22,-17.83502811829954,0,1,24,-0.7,-0.5,0.49989541926393316,0.15,0.7892526411530814,-1.2000000000000004,-67.53557032588775,2.9224045798568374,-25.0,0.6997383106452885
23,-194.97460814008144,0,1,24,-0.7,-0.5,0.8506665619121009,0.18,0.43847878373907856,-1.2000000000000004,-201.13780119100826,-1.1050362367527733,-25.0,0.6894252223925961
24,-43.18710874251431,0,1,23,-0.7,-0.5,0.675376006467239,0.13,0.6137721516824924,-1.1500000000000004,-81.0425973320828,0.19401213554851748,-25.0,0.6796954875794602
25,-122.31564866793065,0,1,15,-0.7,-0.5,0.9272351745313248,0.17,0.35031115634079213,-0.7500000000000001,-119.69314757110513,-1.077068120620669,-25.0,0.6734299127906459
26,-40.61863206119036,0,1,17,-0.7,-0.5,0.5490251029514319,0.19,0.7401210655328609,-0.8500000000000002,-79.59197817987685,2.801557474858927,-25.0,0.6664042610061315
27,-108.57307994161614,0,1,34,-0.7,-0.5,0.4900647669959686,0.17,0.7979601088443957,-1.7000000000000008,-190.4667004346051,-0.600338437687864,-25.0,0.6525895888420842
28,-81.29274718860555,0,1,15,-0.7,-0.5,0.7585430909601371,0.14,0.5170926586787515,-0.7500000000000001,-94.79355681145246,-1.1082878607101498,-25.0,0.6465937222520849
