episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-458.4363192166136,0,1,45,-1.1,0.0,2.4422721790274435,0.15,-4.266962789983996,-2.25,-116.61730057557995,-7.083097573282062,-100.0,0.8968890402449773
2,-303.5246227058228,0,1,51,-0.7,-0.5,2.051288799381723,0.14,-2.289791769834715,-2.549999999999999,-75.04802068830678,-4.48876075472662,-100.0,0.8932973994667558
3,-401.28771158467606,0,1,60,-1.1,-1.1,0.8867254402536011,0.17,0.5292265020333136,-2.9999999999999973,-254.74158752430267,-6.954381572310653,-100.0,0.8890914361401585
4,-2474.769606825288,0,1,226,-1.1,1.1,3.1741657261580807,0.18,-4.053855357352495,-11.300000000000026,-571.0188435318933,-4.566236763480185,-100.0,0.8734364281441098
5,-843.8710489527699,0,1,55,-0.7,-0.5,1.8899917814112022,0.19,-1.8325996693231787,-2.7499999999999982,-610.5547681606191,-5.207084472413719,-100.0,0.8696709802582318
6,-666.9935555215837,0,1,89,-1.1,1.1,2.953835930849066,0.19,-3.3823907478748687,-4.449999999999992,-243.10415082231003,-5.950213645392801,-100.0,0.8636142419892606
7,-253.33799283566498,1,0,91,-1.1,0.0,0.24212752090275252,1.42,2.331425135182271,-4.549999999999992,-260.76646190509655,7.1109658454273,100.0,0.8574676691985303
8,-240.51990226771778,0,1,23,-1.1,1.1,2.5787729963596373,0.16,-2.245735120880074,-1.1500000000000004,-71.61653853453794,-2.399907684832523,-100.0,0.8559215050465458
9,-906.6682033038427,0,1,88,-1.1,1.1,3.921073353329738,0.15,-6.284281348685085,-4.399999999999992,-139.37145644846657,-6.700563575771506,-100.0,0.8500330314683862
10,-586.3957702777018,0,1,101,-1.1,1.1,3.4601325043126097,0.16,-4.889896532165258,-5.04999999999999,-98.51063339089878,-3.5703731204687794,-100.0,0.8433276780664717
11,-830.2712443679345,0,1,53,-1.1,0.0,2.4167272479121187,0.16,-4.192376301442666,-2.6499999999999986,-427.77156780856876,-9.119294006575707,-100.0,0.8398315404754366
12,-419.32592670610575,0,1,35,-1.1,-1.1,2.4027644756483344,0.12,-3.9898554330373566,-1.7500000000000009,-112.66057392953246,-5.4638715204286665,-100.0,0.8375312214117414
13,224.7201680881135,1,0,19,-1.1,0.0,0.2257083128062248,1.37,2.3827284471219907,-0.9500000000000003,0.0,9.659650416875703,100.0,0.8362852836055608
14,-342.59431381051206,0,1,84,-0.7,-0.5,1.5812358662797152,0.19,-0.9154459698945989,-4.199999999999993,-132.4961444063821,-9.538397087897847,-100.0,0.8308005057390129
15,-616.0708863706673,0,1,82,-1.1,-1.1,1.628535762098107,0.18,-1.7191558017021928,-4.099999999999993,-233.2634743953368,-3.6221010729755476,-100.0,0.8254832236874173
16,-800.5878736226334,0,1,78,-0.7,-0.5,2.750757504248151,0.17,-4.388197890149667,-3.899999999999994,-247.0885628573001,-7.2891869583718165,-100.0,0.8204589293796398
