episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-4.773784095704261,0,1,51,0.0,0.5,0.43771683043612836,0.03166666666666667,8.121412546550884,-0.5100000000000002,-12.5,0.017135601103643507,-1.0,0.8975041620408925
2,-2.141099544830127,0,1,25,0.0,0.5,1.7855704626974047,0.03166666666666667,2.1375629433648724,-0.25000000000000006,-3.5,0.005564025742048351,-1.0,0.8962593593945117
3,-1.804256074320508,0,1,15,0.0,0.5,1.5150398372181335,0.03,2.7626223147656663,-0.15,-4.0,0.025122367020785165,-1.0,0.8955134730404515
4,-3.3218620986030474,0,1,23,0.0,0.5,1.7313277589045897,0.028333333333333335,2.4070781855590235,-0.23000000000000007,-5.0,0.0076837370967040965,-1.0,0.894371228326532
5,-3.7823521332729544,0,1,22,0.0,0.5,1.7342533654720427,0.024999999999999998,2.367736590496854,-0.22000000000000006,-5.5,-0.025953620985144567,-1.0,0.8932802840796628
6,0.7642118879314506,0,1,10,0.0,0.5,1.4856462685944827,0.024999999999999998,2.957246315935326,-0.09999999999999999,-1.5,0.03782310615594386,-1.0,0.8927849290269737
7,-1.2729385227994865,0,1,21,0.0,0.5,1.275225694788553,0.023333333333333334,4.167666135383398,-0.21000000000000005,-5.0,0.044313419048821474,-1.0,0.891745757715985
8,-0.9267587722480735,0,1,24,0.0,0.5,1.5220567622367496,0.03166666666666667,3.417326546348302,-0.24000000000000007,-4.0,0.04594276543866765,-1.0,0.8905599134320467
9,-13.60317695344411,0,1,32,0.0,0.5,2.9433586282585464,0.024999999999999998,-2.9004532035168773,-0.3200000000000001,-9.0,-0.04461333984992886,-1.0,0.8889817362709017
10,-5.04433003457447,0,1,18,0.0,0.5,1.6070165334482835,0.03166666666666667,2.4503013934693185,-0.18000000000000002,-6.5,-0.01648457772088774,-1.0,0.8880954900414638
11,-4.041029102427093,0,1,16,0.0,0.5,1.8592128537362276,0.03166666666666667,1.5257423035202038,-0.16,-4.5,-0.01921173270050991,-1.0,0.8873086079304869
12,-3.906354404413533,0,1,17,0.0,0.5,1.9917601117571935,0.03,1.1027931960441717,-0.17,-4.0,-0.024816607596230413,-1.0,0.8864734648453051
13,-1.924770968184759,0,1,29,0.0,0.5,1.8609448494788976,0.021666666666666667,1.8259958638662466,-0.2900000000000001,-3.0,-0.018068543403690785,-1.0,0.8850509916471032
14,-3.925811086701656,0,1,21,0.0,0.5,1.5898878013950568,0.03166666666666667,2.9675666252083004,-0.21000000000000005,-6.0,-0.010428451839761278,-1.0,0.8840226402727234
15,-2.398675415678472,0,1,20,0.0,0.5,1.4750026528690203,0.024999999999999998,3.481896912317573,-0.20000000000000004,-5.5,0.03575581550656955,-1.0,0.883044595593708
16,-0.7155730862273715,0,1,14,0.0,0.5,1.3952919219558084,0.03166666666666667,3.3607176252721063,-0.13999999999999999,-3.5,0.0312904657787337,-1.0,0.8823607398201577
17,-1.059757128883609,0,1,22,0.0,0.5,1.387007553823858,0.03,3.7961706145578598,-0.22000000000000006,-4.5,0.039098284435091425,-1.0,0.8812873980447965
18,-2.966187274497458,0,1,22,0.0,0.5,1.754613962131058,0.02666666666666667,2.354466646255937,-0.22000000000000006,-4.5,-0.002743605057369658,-1.0,0.8802156293501646
19,-2.2023117055154087,0,1,31,0.0,0.5,0.7035882365958729,0.03166666666666667,6.621347741855729,-0.3100000000000001,-8.5,0.040255024630196604,-1.0,0.878708075391842
20,-21.50168470868617,0,1,69,0.0,0.5,0.757274851671504,0.03166666666666667,6.943496095584119,-0.6900000000000004,-28.0,0.015997594344806527,-1.0,0.8753637161684713
21,-8.399593176704101,0,1,37,0.0,0.5,1.607508243819493,0.023333333333333334,2.9164262664348644,-0.37000000000000016,-10.5,-0.012917299059067822,-1.0,0.8735766905729118
22,-4.07424319228334,0,1,26,0.0,0.5,1.4844434372576891,0.03,3.5676051916631164,-0.26000000000000006,-7.5,0.03589826495946796,-1.0,0.872323577321146
23,-0.1559730855910466,0,1,20,0.0,0.5,1.4959914241133876,0.03166666666666667,3.6412483035894923,-0.20000000000000004,-3.5,0.046440352205219006,-1.0,0.8713611209981859
24,-3.6950180030337636,0,1,42,0.0,0.5,0.5641780889398751,0.028333333333333335,7.373294461403242,-0.4200000000000002,-11.0,0.04442710336077098,-1.0,0.8693441349576118
25,-0.2793680235724074,0,1,20,0.0,0.5,1.4565013415780657,0.023333333333333334,3.630032356290471,-0.20000000000000004,-3.5,0.02269117310374312,-1.0,0.8683856485772531
26,-1.0585739663963405,0,1,20,0.0,0.5,1.4193428565324002,0.02666666666666667,3.8334497171953625,-0.20000000000000004,-4.5,0.043055838631799605,-1.0,0.8674284393271258
27,-1.3972251089798473,0,1,17,0.0,0.5,1.5012304707711746,0.03,3.5244455698383446,-0.17,-4.5,0.04187525783805011,-1.0,0.8666158143370303
28,0.6588611366341797,0,1,15,0.0,0.5,1.4346084969089887,0.02666666666666667,3.218499074737352,-0.15,-2.0,0.037091057521240534,-1.0,0.8658995567111943
29,-1.2657750316530214,0,1,16,0.0,0.5,1.489062345509388,0.02666666666666667,3.287749990133056,-0.16,-4.0,0.045647284506680756,-1.0,0.8651363376399048
30,-4.306048889175978,0,1,24,0.0,0.5,1.4562982447881678,0.03,3.5552261554056415,-0.24000000000000007,-7.0,-0.003816580997164876,-1.0,0.8639930343861887
31,-8.194608140179984,0,1,43,0.0,0.5,1.280468827858032,0.024999999999999998,4.695922759963857,-0.4300000000000002,-12.5,0.003230704953431557,-1.0,0.8619491852710047
32,-0.012926132720903372,0,1,14,0.0,0.5,1.099181274781081,0.024999999999999998,4.104823700150427,-0.13999999999999999,-3.5,0.04721837841466724,-1.0,0.8612850093617237
33,-11.08382988043045,0,1,50,0.0,0.5,1.5806920712996364,0.03,3.22773219171731,-0.5000000000000002,-13.5,-0.01903170248218459,-1.0,0.8589180065269115
