episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-1.4464816984007771,0,1,23,1.7,0.5,3.5821653513357825,0.024999999999999998,1.1421875636349479,-0.23000000000000007,-1.4000000000000001,-0.002252170301705365,-1.0,0.8984616927584164
2,2.645968298668464,0,1,22,1.7,0.5,2.8460519281013914,0.024999999999999998,4.56023229080424,-0.22000000000000006,-0.8999999999999999,0.008000814316112213,-1.0,0.8969267660727891
3,-2.035649559552896,0,1,20,1.7,0.5,3.72168794997067,0.021666666666666667,0.44230581027732363,-0.20000000000000004,-1.3,0.0003940906274154321,-1.0,0.8955343054654044
4,1.582117548407713,0,1,12,0.0,0.5,1.4923861183053304,0.024999999999999998,3.0072317469618195,-0.11999999999999998,-0.4,0.006363408980207137,-1.0,0.894700164883292
5,-0.46570878287464107,0,1,25,1.7,0.5,3.4732908802432214,0.02666666666666667,1.688230652552909,-0.25000000000000006,-0.9999999999999999,0.003026566300420923,-1.0,0.8929655836011141
6,1.9444009016170485,0,1,18,0.0,0.5,1.2488056473255829,0.021666666666666667,4.080676425472142,-0.18000000000000002,-1.0999999999999999,0.008541224776806845,-1.0,0.891719367481618
7,2.158306061554211,0,1,35,1.0,-0.5,1.9802698114681663,0.023333333333333334,4.826833146490966,-0.35000000000000014,-1.6000000000000003,0.003410088372861108,-1.0,0.8893025815379689
8,-4.689881343066821,0,1,33,1.7,0.5,4.173031402871646,0.02,-1.5580625991296744,-0.3300000000000001,-1.8000000000000005,-0.008876334740959458,-1.0,0.8870316321462761
9,1.2887200701480177,0,1,31,1.0,-0.5,2.2504150541437427,0.02666666666666667,3.5967899529180793,-0.3100000000000001,-1.2,0.004124799674659917,-1.0,0.8849051318650305
10,0.7940387221891949,0,1,17,1.0,-0.5,2.330187285920533,0.02,2.768964946392776,-0.17,-0.8999999999999999,0.0004520961237602572,-1.0,0.8837417822681908
11,1.7317500380059272,0,1,14,1.7,0.5,3.0173443138877363,0.023333333333333334,3.5006641209664635,-0.13999999999999999,-0.7,0.0012250490721679341,-1.0,0.8827852135273733
12,2.497238394319827,0,1,16,1.0,-0.5,2.1113794094396456,0.02666666666666667,4.132285954357906,-0.16,-0.6,0.0049649126756207106,-1.0,0.8816936306848744
13,1.2498623359407088,0,1,28,-0.7,-0.5,0.7015114824563253,0.02666666666666667,2.932566443745243,-0.2800000000000001,-0.6,-0.000712910913106255,-1.0,0.8797875582656443
14,1.9056978247961611,0,1,18,0.0,0.5,1.4718296275102738,0.024999999999999998,3.6527770521176035,-0.18000000000000002,-0.7,0.005599509763953997,-1.0,0.8785650412561543
15,-0.21014542167917072,0,1,20,0.0,0.5,1.6793525616283105,0.021666666666666667,2.2318767776913964,-0.20000000000000004,-1.3,1.2177809067037694e-06,-1.0,0.8772092673994232
