episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-6.945174415783681,0,1,50,1.7,0.5,3.981433188906024,0.024999999999999998,-0.8008385259379636,-0.5000000000000002,-3.600000000000002,-0.003772005025030807,-2.0,0.8968227905202893
2,3.1980912298027766,0,1,51,0.0,0.5,0.5989588247317381,0.02,8.066602849936398,-0.5100000000000002,-2.700000000000001,0.006540950757169427,-2.0,0.8935323919369593
3,3.8415683759523542,0,1,42,1.0,-0.5,1.2684702316726175,0.021666666666666667,8.52361396981575,-0.4200000000000002,-2.600000000000001,0.004665234293511214,-2.0,0.8908352239085195
4,0.12313142018723866,0,1,23,1.0,-0.5,2.321652638333375,0.024999999999999998,3.326632369873922,-0.23000000000000007,-1.0999999999999999,-0.002429843836096968,-2.0,0.889362996603937
5,-2.568269130024553,0,1,35,1.7,0.5,3.545126616331079,0.02666666666666667,1.3194313241143907,-0.35000000000000014,-1.6000000000000003,0.0006851824940330365,-2.0,0.8871291376493909
6,5.8253646590787636,1,0,27,-0.7,-0.5,0.24580650083199013,0.04,5.173718934439698,-0.2700000000000001,-1.3,0.0034308226745173075,2.0,0.8854112092247522
7,0.964795798560055,0,1,19,1.0,-0.5,2.158023496997969,0.02666666666666667,4.113384651666491,-0.19000000000000003,-1.0999999999999999,0.003629163464506059,-2.0,0.8842050741184219
8,0.26179761451290195,0,1,28,-0.7,-0.5,0.5035717345552447,0.02666666666666667,3.8792589765763656,-0.2800000000000001,-1.5000000000000002,-0.001181077140142892,-2.0,0.8824317836760592
9,6.145799041000782,1,0,30,-0.7,-0.5,0.23180615794805756,0.05833333333333333,5.2075709894764435,-0.3000000000000001,-0.9999999999999999,0.00873885410293355,2.0,0.8805373314242477
10,0.6802788671291808,0,1,31,-0.7,-0.5,0.448331967343972,0.02666666666666667,4.197567096601109,-0.3100000000000001,-1.4000000000000001,0.0017199249037579646,-2.0,0.8785856923004118
11,0.01963853408070504,0,1,20,-0.7,-0.5,0.7291215040072132,0.021666666666666667,2.7945286617935072,-0.20000000000000004,-0.7,0.0008140010979743573,-2.0,0.8773297772495003
12,4.999399003999564,1,0,41,-0.7,-0.5,0.24798944650743976,0.055,5.204853363218547,-0.4100000000000002,-2.1000000000000005,0.0016512182823238209,2.0,0.8747629906709027
13,5.883478217564166,1,0,30,-0.7,-0.5,0.2433276883164443,0.05833333333333333,5.222588567221712,-0.3000000000000001,-1.3,0.004520314151637037,2.0,0.8728915103230218
14,0.7310524487273937,0,1,23,1.7,0.5,3.0491490422299194,0.024999999999999998,3.864427410489142,-0.23000000000000007,-1.0999999999999999,0.007971451045593589,-2.0,0.8714605061349295
15,-1.330618460932855,0,1,28,-0.7,-0.5,0.9018038764601314,0.02666666666666667,1.9306391220537518,-0.2800000000000001,-1.0999999999999999,0.0034503744973658434,-2.0,0.8697228505708097
