episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-271.3221245619443,0,1,54,1.0,-0.5,1.2719502889072647,0.02666666666666667,34.02636809414611,-5.399999999999997,-125.03272600578532,0.4314827814798434,-200.0,0.8947175175440759
2,-213.0682736193874,0,1,28,1.0,-0.5,2.1884875301527367,0.024999999999999998,16.02176151879955,-2.800000000000001,-39.03978463527227,0.4247453415039882,-200.0,0.8919408682035131
3,-255.92453977446496,0,1,45,0.0,0.5,0.8119510945614387,0.02666666666666667,28.272956113818406,-4.5,-98.19522509559677,0.20925279148464046,-200.0,0.8874987061134726
4,-228.2685078221791,0,1,25,1.0,-0.5,2.3673998107366945,0.02666666666666667,12.413348087508078,-2.500000000000001,-47.993180260820466,0.21995808424880883,-200.0,0.8850416138630957
5,-267.7630097670495,0,1,34,0.0,0.5,1.6194679181479434,0.02666666666666667,12.105111040318544,-3.4000000000000017,-85.71973941603042,0.024961597509808787,-200.0,0.8817122668778804
6,-336.270140089308,0,1,70,1.0,-0.5,1.4487026334470066,0.024999999999999998,30.78727922093035,-6.999999999999991,-187.9770863083555,0.3466647124135442,-200.0,0.8749021223749843
7,-215.14650647981873,0,1,26,1.0,-0.5,2.328050877444884,0.02,13.195785269576952,-2.600000000000001,-36.08462578948375,0.25632995928094754,-200.0,0.8723877784992098
8,-236.40064982828494,0,1,32,0.0,0.5,1.6614529930269473,0.02666666666666667,11.027355401606643,-3.2000000000000015,-53.09837089090058,-0.11497414268016053,-200.0,0.8693043982568702
9,-294.95184085168734,0,1,59,0.0,0.5,1.1291754112437313,0.02,21.660353709919406,-5.899999999999995,-128.14850233214324,-0.15688966509628494,-200.0,0.8636516484559763
10,-528.4097691312625,0,1,91,0.0,0.5,3.023597106881942,0.02666666666666667,-15.941584400464322,-9.099999999999984,-291.0319429463873,-0.4982647504693822,-200.0,0.8550143288422405
11,-243.65961927377236,0,1,44,0.0,0.5,1.0198496865911122,0.023333333333333334,23.856827869450957,-4.4,-77.17159278193539,0.3259779611872055,-200.0,0.8508731487181689
12,-262.74340885703674,0,1,47,0.0,0.5,0.6495493419005347,0.024999999999999998,31.26815389198734,-4.699999999999999,-109.4199064863566,0.3881155257490755,-200.0,0.8464747020577686
13,-285.51632830188385,0,1,41,0.0,0.5,1.6818469565813323,0.02666666666666667,10.874273477557976,-4.100000000000001,-100.34140539058762,-0.35513818407534903,-200.0,0.8426588057961311
14,-388.20961894725644,0,1,92,0.0,0.5,1.0001244564630278,0.02666666666666667,24.272043598407922,-9.199999999999983,-222.1423369847169,-0.48617798731641154,-200.0,0.8341671501344458
15,-255.76868090988694,0,1,55,1.0,-0.5,1.267990633310503,0.023333333333333334,34.43170985706792,-5.4999999999999964,-110.0555373839899,0.2454781035290695,-200.0,0.8291370617187076
16,-276.52729781524295,0,1,55,1.0,-0.5,1.2467128086023154,0.02666666666666667,34.82710483066211,-5.4999999999999964,-130.9418061367149,0.4764104555195922,-200.0,0.8241414365576459
17,-225.93978827639228,0,1,24,0.0,0.5,1.6885156268701487,0.024999999999999998,10.479899605473598,-2.400000000000001,-40.25969007952801,-0.03474485355906078,-200.0,0.8219722676282436
18,-211.5992028610286,0,1,22,0.0,0.5,1.4712161885151482,0.02666666666666667,15.102049983206914,-2.2000000000000006,-35.23320684402866,0.44674219461618636,-200.0,0.8199895713491613
19,-228.17567591034788,0,1,29,1.0,-0.5,2.3375279721254825,0.02666666666666667,13.034583924907519,-2.9000000000000012,-48.32626194380699,0.06034878330721863,-200.0,0.8173843339985883
20,-243.44701368235556,0,1,28,0.0,0.5,1.7800660877908352,0.02666666666666667,8.910717549497738,-2.800000000000001,-56.49417193811902,0.2421801474283676,-200.0,0.8148778776868125
21,-212.47437596690688,0,1,26,1.0,-0.5,2.2244967124493713,0.021666666666666667,15.295661101118494,-2.600000000000001,-36.79290458611798,0.25193705339282446,-200.0,0.8125582959463734
22,-339.2818442883241,0,1,51,1.0,-0.5,3.077982057594049,0.02,-1.7991214619876672,-5.099999999999998,-130.13271377178657,-0.4920251210125008,-200.0,0.8080301854971983
23,-211.10461797754144,0,1,22,0.0,0.5,1.391184714460101,0.021666666666666667,16.688278857480217,-2.2000000000000006,-36.044926334423415,0.4722394654745794,-200.0,0.8060857772737703
24,-218.4990782650497,0,1,33,1.0,-0.5,2.235261212909033,0.02666666666666667,15.086239131785906,-3.3000000000000016,-44.78492360850333,0.47566936043004177,-200.0,0.8031791724364665
25,-350.3932460199567,0,1,76,1.0,-0.5,2.6320229837319826,0.02666666666666667,7.151051504454715,-7.599999999999989,-154.61524383736764,0.3765210372479427,-200.0,0.796530601015293
26,-219.03676224963084,0,1,35,1.0,-0.5,2.3728457011825363,0.024999999999999998,12.28648452385559,-3.5000000000000018,-41.011665598062315,0.2646640432108451,-200.0,0.7934899359407194
27,-295.76969776078073,0,1,55,1.0,-0.5,1.4510450561636952,0.023333333333333334,30.770593094736547,-5.4999999999999964,-141.69177583675514,0.08390240269986218,-200.0,0.7887385442548239
28,-291.43388080809723,0,1,50,0.0,0.5,1.549695245253063,0.021666666666666667,13.249957076370318,-4.999999999999998,-108.3998956459355,-0.4053540426375894,-200.0,0.7844473522968148
29,-308.1587612032239,0,1,45,1.0,-0.5,3.072322420773423,0.023333333333333334,-1.9464072888186035,-4.5,-101.51351405171853,-0.39500025060583793,-200.0,0.7806081438368465
30,-234.62112006724743,0,1,26,1.0,-0.5,2.3185869976089113,0.024999999999999998,13.093633687342825,-2.600000000000001,-56.01448133377459,0.4538666863644399,-200.0,0.7783997579402979
31,-217.78643623619237,0,1,26,1.0,-0.5,2.2943200991577446,0.024999999999999998,13.905120442527013,-2.600000000000001,-40.08481677198669,0.2290184411169357,-200.0,0.7761985376474999
32,-339.5754112731287,0,1,61,1.0,-0.5,3.094543976817737,0.023333333333333334,-2.1295356063676785,-6.099999999999994,-131.18716761671294,-0.4998689201549312,-200.0,0.7710621312335235
33,-282.7113055424273,0,1,43,0.0,0.5,2.2375528861190848,0.024999999999999998,-0.2390797324817484,-4.300000000000001,-78.83732242343419,-0.41545779657088827,-200.0,0.7674648486357658
34,-311.3435908833655,0,1,78,1.0,-0.5,1.2460521551966512,0.02666666666666667,34.84641590089755,-7.799999999999988,-174.342947362069,0.34834283623495327,-200.0,0.7609886889433141
35,-240.91876991922808,0,1,39,1.0,-0.5,2.383570982887482,0.02666666666666667,12.12007692577842,-3.900000000000002,-63.55579475490742,0.17350370042525037,-200.0,0.7577742107415034
36,-255.17994592394092,0,1,44,1.0,-0.5,2.4124372601196553,0.021666666666666667,11.542777288265453,-4.4,-76.95312948245294,0.41556499466888636,-200.0,0.7541663832028837
37,-226.07652172240023,0,1,25,0.0,0.5,1.4693017568707296,0.02666666666666667,15.145543435398366,-2.500000000000001,-51.014634749352375,0.49241125496157556,-200.0,0.7521253041025031
38,-244.16635802008318,0,1,36,1.0,-0.5,2.334980026373451,0.023333333333333334,13.061738635719626,-3.600000000000002,-67.37379638874464,0.393611623542249,-200.0,0.749197333109725
39,-220.15472197509555,0,1,34,1.0,-0.5,2.1150585565675164,0.02666666666666667,17.46689862140413,-3.4000000000000017,-49.73707499236766,0.34299294538780906,-200.0,0.7464440992102345
40,-300.07298401620653,0,1,61,0.0,0.5,0.6437350538931028,0.024999999999999998,31.372457289937834,-6.099999999999994,-151.21611654727417,0.030743243009371448,-200.0,0.7415337076128016
41,-352.6284966275598,0,1,63,0.0,0.5,2.7963116186956753,0.02666666666666667,-11.414265927778464,-6.299999999999994,-126.02323429361297,-0.4562434155878568,-200.0,0.7365014701069494
42,-468.5849046673958,0,1,102,1.0,-0.5,3.230042474810481,0.02666666666666667,-5.106703414254792,-10.19999999999998,-248.72759350052874,0.15872088839112042,-200.0,0.7284375928208265
43,-292.0211137922296,0,1,61,1.0,-0.5,1.4506486229782523,0.02666666666666667,30.747543375025458,-6.099999999999994,-141.62266897853803,0.06120896860839016,-200.0,0.7236639787077603
44,-56.833762825976066,1,0,128,0.0,0.5,0.2373386199995309,0.051666666666666666,39.765194050969626,-12.79999999999997,-325.4308123535017,0.43966392338887705,200.0,0.7137647599806846
